#Peaks: + TIC Scan - DR_PL_0154_c.D (DR_PL_0154_c.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.125,13086.82,3572.21,,,0.108,0.075,,
2,5.563,112721.79,31521.33,,,0.108,0.066,,
3,5.626,454728.47,47233.74,,,0.304,0.197,,
4,8.006,312224.25,103788.78,,,0.163,0.043,,
5,9.202,11841.55,4783.44,,,0.08,0.052,,
6,9.425,244181.5,39518.24,,,0.228,0.11,,
7,10.633,223620.34,75416.27,,,0.189,0.042,,
8,13.165,9350.21,4002.72,,,0.072,0.055,,
9,13.318,27057.19,8734.6,,,0.126,0.046,,
10,13.992,498372.88,166241.88,,,0.151,0.046,,
11,15.92,73792.61,22318.88,,,0.197,0.045,,
12,17.371,11666.93,3944.07,,,0.108,0.671,,
13,17.911,10672.06,4163.72,,,0.081,0.051,,
14,18.204,13562.25,6827.24,,,0.073,0.033,,
15,18.319,864859.12,313015.91,,,0.142,0.043,,
16,18.427,33506.24,10487.22,,,0.127,0.045,,
17,20.558,10150.02,4424.53,,,0.076,0.211,,
18,20.806,260401.09,88006.5,,,0.21,0.042,,
19,21.22,27210.36,8274.35,,,0.128,0.043,,
20,21.983,20562.98,8316.11,,,0.082,0.042,,
21,22.129,5883.59,3077.42,,,0.061,0.033,,
22,22.244,980748.18,338344.58,,,0.163,0.044,,
23,22.39,6246.76,3216.15,,,0.06,0.034,,
24,22.626,14945.24,6545.54,,,0.073,0.038,,
25,22.797,146237.62,55919.39,,,0.104,0.041,,
26,23.084,70798.84,20075.38,,,0.158,0.043,,
27,23.217,17020.86,4415.78,,,0.108,0.064,,
28,24.439,32579.25,4414,,,0.223,0.486,,
29,24.789,16044.34,4453.95,,,0.121,0.051,,
30,24.929,15313.14,7030.45,,,0.08,0.037,,
31,25.24,247984.08,89225.84,,,0.167,0.041,,
32,25.45,62037.22,22877.44,,,0.113,0.044,,
33,25.667,399519.64,137787.56,,,0.129,0.045,,
34,26.309,20192.8,7831.71,,,0.108,0.033,,
35,26.449,1188051.04,411917.1,,,0.22,0.044,,
36,26.856,10649.11,3827.81,,,0.083,0.046,,
37,26.965,726378.55,279154.58,,,0.121,0.041,,
38,27.302,114830.16,37252.23,,,0.168,0.046,,
39,28.135,18480.07,7096.77,,,0.07,0.048,,
40,28.727,108842.26,34940.85,,,0.145,0.045,,
41,28.911,68247.16,25835.86,,,0.108,0.04,,
42,29.268,152235.44,56795.62,,,0.121,0.04,,
43,29.369,37704.86,12436.1,,,0.106,0.049,,
44,29.999,27956.07,8790.36,,,0.102,0.061,,
45,30.158,73416.99,23097.3,,,0.146,0.046,,
46,30.273,747422.58,266433.64,,,0.127,0.043,,
47,30.375,136146.61,42796.16,,,0.169,0.045,,
48,30.654,26327.9,9935.12,,,0.081,0.046,,
49,30.763,4820379.64,1732879.82,,,0.178,0.044,,
50,31.138,42182.27,14649.74,,,0.094,0.046,,
51,31.545,56876.91,13307.05,,,0.172,0.056,,
52,31.857,17371.25,3719.17,,,0.146,0.248,,
53,31.959,9245.66,3620.32,,,0.07,0.063,,
54,32.067,109835.05,40266.39,,,0.111,0.042,,
55,32.181,19382.32,7480.97,,,0.086,0.039,,
56,32.442,15529.04,5745.92,,,0.081,0.046,,
57,32.538,748411.03,281248.39,,,0.134,0.042,,
58,32.938,80384.88,27270.24,,,0.13,0.044,,
59,33.371,52283.75,19619.24,,,0.094,0.045,,
60,33.702,1289715.91,459321.23,,,0.102,0.048,,
61,33.804,11642295.91,3871486.49,,,0.127,0.046,,
62,33.912,2757359.61,959989.3,,,0.178,0.044,,
63,34.16,358442.68,104401.15,,,0.14,0.052,,
64,34.294,51624500.59,14060979.95,,,0.229,0.06,,
65,34.669,110332.6,41610.73,,,0.115,0.041,,
66,34.847,65897.43,20980.4,,,0.107,0.049,,
67,35.273,11204.58,4675.72,,,0.064,0.039,,
68,35.451,391940.24,97821.76,,,0.214,0.048,,
69,35.566,49355.5,18159.91,,,0.108,0.058,,
70,35.878,1650223.05,556500.88,,,0.197,0.046,,
71,36.323,159822.49,50381.08,,,0.13,0.048,,
72,36.444,20543.07,7033.39,,,0.089,0.048,,
73,36.66,70795.62,17646.15,,,0.137,0.066,,
74,36.889,22579.11,9810.13,,,0.066,0.041,,
75,36.991,1854530.09,652176.76,,,0.095,0.049,,
76,37.055,9261238.45,2758903.2,,,0.121,0.048,,
77,37.169,2531625.49,855911.67,,,0.159,0.046,,
78,37.5,44986543.92,12932849.92,,,0.248,0.055,,
79,37.913,202870.98,70626.28,,,0.086,0.05,,
80,37.99,264444.92,75128.59,,,0.132,0.059,,
81,38.155,18731.89,7423.64,,,0.069,0.111,,
82,38.238,13963.05,4716.02,,,0.089,0.069,,
83,38.416,17173.25,6836.97,,,0.099,0.045,,
84,38.588,257540.54,39039.4,,,0.324,0.06,,
85,38.97,1959989.89,682415.7,,,0.216,0.043,,
86,39.453,52645.43,16065.61,,,0.131,0.049,,
87,39.898,46589.97,18010.96,,,0.079,0.046,,
88,40.077,4967509.45,1232849.11,,,0.184,0.052,,
89,40.178,1232631.41,317991.36,,,0.138,0.081,,
90,40.458,40463159.68,11220480.34,,,0.286,0.057,,
91,40.904,1209456.61,294270.75,,,0.236,0.056,,
92,41.336,69489.77,14257.42,,,0.152,0.079,,
93,41.489,131090.26,24534.72,,,0.153,0.135,,
94,41.61,101141.64,21198,,,0.14,0.111,,
95,41.839,1554597.5,482487.75,,,0.254,0.047,,
96,42.284,86802.16,18541.85,,,0.164,0.069,,
97,42.916,6908283.7,834222.47,,S,0.322,0.12,,
98,43.226,27312501.21,8337817.17,,,0.254,0.051,,
99,43.62,933893.03,211049.8,,,0.229,0.064,,
100,44.002,76992.12,14593.28,,,0.146,0.096,,
101,44.269,254686.96,30376.92,,,0.244,0.149,,
102,44.517,669595.68,180563.89,,,0.19,0.053,,
103,44.912,15923.94,6198.1,,,0.091,0.054,,
104,45.293,940173.98,199006.12,,,0.165,0.068,,
105,45.529,10758472.16,2252462.79,,S,0.172,0.08,,
106,45.573,5539287.54,2033048.14,,,0.14,0.053,,
107,45.802,10480164.72,3399197.95,,,0.21,0.046,,
108,46.171,273711.92,59321.23,,,0.194,0.071,,
109,46.782,196234.85,38415.46,,,0.189,0.081,,
110,47.037,62276.47,15200.86,,,0.132,0.289,,
111,47.711,891800.59,217552.46,,,0.165,0.056,,
112,47.959,7904334.09,1471430.66,,,0.331,0.072,,
113,48.233,736741.64,171910.99,,,0.248,0.059,,
114,48.602,48490,12472.96,,,0.102,0.072,,
115,50.313,2344578.24,54837.94,,,1.075,0.919,,
116,50.612,719050.72,42678.47,,,0.477,0.401,,
117,52.018,1082213.23,29020.24,,,1.088,0.731,,
118,54.531,1018291.95,18565.54,,,1.527,1.2,,
119,57.394,429857.72,16691.98,,,0.763,0.594,,

