#Peaks: + TIC Scan - DR_PL_0156_c_2.D (DR_PL_0156_c_2.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,5.582,112327.61,39075.11,,,0.095,0.056,,
2,5.652,462955.87,90128.08,,,0.305,0.052,,
3,6.25,2429.05,2204.65,,,0.043,0.288,,
4,6.307,6719.93,2967.41,,,0.081,0.052,,
5,7.287,8215.98,3004.05,,,0.102,0.172,,
6,8.044,446099.04,148729.37,,,0.204,0.041,,
7,9.463,202794.1,33564.45,,,0.267,0.088,,
8,10.672,350763.81,118184.85,,,0.19,0.042,,
9,12.313,11003.7,4607.79,,,0.077,0.037,,
10,12.472,2380.06,1688.81,,,0.045,0.12,,
11,12.987,5609.76,2664,,,0.089,0.167,,
12,13.223,6548.4,2752.31,,,0.07,0.039,,
13,13.356,36730.05,12287.9,,,0.14,0.042,,
14,14.031,887313.17,314449.46,,,0.146,0.043,,
15,15.958,134264.12,46070.78,,,0.15,0.044,,
16,16.576,7825.92,3638.65,,,0.07,0.038,,
17,17.638,6767.12,2206.24,,,0.102,0.167,,
18,17.962,10516.87,3667.66,,,0.089,0.062,,
19,18.058,3671.81,2273.34,,,0.054,0.071,,
20,18.242,8184.8,4671.89,,,0.061,0.028,,
21,18.363,1908698.91,691703.73,,,0.145,0.043,,
22,18.478,41816.8,13011.31,,,0.125,0.045,,
23,19.235,9135.27,2406.75,,,0.121,0.596,,
24,20.603,6680.32,2482.97,,,0.083,0.165,,
25,20.851,311925.16,112752.05,,,0.172,0.04,,
26,21.258,20756.02,9467.49,,,0.081,0.037,,
27,22.034,18914.34,8657.18,,,0.1,0.033,,
28,22.289,735616.97,258007.65,,,0.182,0.044,,
29,22.67,14965.36,5840.91,,,0.089,0.042,,
30,22.842,53883.43,21210.38,,,0.113,0.039,,
31,23.128,85452.42,26614.35,,,0.181,0.044,,
32,24.814,6469.03,3085.25,,,0.066,0.039,,
33,24.973,29037.25,11318.81,,,0.095,0.043,,
34,25.279,429336.43,152273.58,,,0.179,0.042,,
35,25.482,60034.65,22104.62,,,0.118,0.042,,
36,25.711,362587.51,125269.6,,,0.162,0.044,,
