#Peaks: + TIC Scan - STDH2303_1.D (STDH2303_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.112,10864660.78,10496385.64,,,0.045,0.03,,
2,4.17,63994.14,45925.65,,,0.032,0.038,,
3,4.214,711250.47,593897.08,,,0.083,0.018,,
4,4.309,130878.61,94536.75,,,0.049,0.022,,
5,4.341,615582.19,526731.13,,,0.063,0.018,,
6,4.507,120794.79,80536.6,,,0.062,0.023,,
7,4.64,127360.6,93375.68,,,0.059,0.021,,
8,4.736,178454.97,134481.35,,,0.054,0.021,,
9,4.825,34072.78,13202.39,,,0.113,0.022,,
10,5.047,157203.72,91794.6,,,0.102,0.024,,
11,5.181,163516.87,117577.95,,,0.056,0.022,,
12,5.276,116197.86,84351.16,,,0.038,0.026,,
13,5.308,377465.71,165802.13,,,0.082,0.034,,
14,5.429,111618.31,74778.76,,,0.055,0.025,,
15,5.531,85773.21,47709.49,,,0.069,0.027,,
16,5.633,65348.55,36732.18,,,0.07,0.028,,
17,5.875,753992.01,374961.08,,,0.106,0.031,,
18,5.957,100860.55,45922.71,,,0.086,0.029,,
19,6.32,72312.41,26551.66,,,0.089,0.046,,
20,6.447,206016.55,39644.75,,,0.165,0.086,,
21,6.625,79268.16,21814.34,,,0.127,0.047,,
22,6.733,235049.27,126313.45,,,0.082,0.03,,
23,7.128,439324.57,60477.29,,,0.249,0.091,,
24,7.344,50728.65,11254.52,,,0.115,0.095,,
25,7.866,183021.72,83732.28,,,0.092,0.033,,
26,8.197,38973.37,16547.64,,,0.105,0.033,,
27,8.419,24395.75,12158.11,,,0.058,0.034,,
28,8.585,484715.43,193498.58,,,0.141,0.034,,
29,8.941,201610.56,43796.02,,,0.122,0.111,,
30,9.151,1011741.14,61719.45,,,0.407,0.303,,
31,9.507,414000.1,177905.66,,,0.107,0.037,,
32,9.647,299301.66,137547.83,,,0.091,0.034,,
33,9.883,79613.1,28354.01,,,0.102,0.043,,
34,10.131,17548.49,8304.87,,,0.057,0.041,,
35,10.194,251795.83,105312.94,,,0.102,0.038,,
36,10.379,19081.21,9677.47,,,0.081,0.116,,
37,10.716,32977.45,12091.57,,,0.098,0.046,,
38,11.225,1454841.48,117673.86,,,0.442,0.205,,
39,12.135,2316332.54,199488.85,,,0.484,0.197,,
