#Peaks: + TIC Scan - DR_PL_0057.D (DR_PL_0057.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.119,27662.94,6583,,,0.127,0.078,,
2,5.531,111278.93,39188.75,,,0.081,0.05,,
3,5.607,135060.27,35486.8,,,0.191,0.055,,
4,6.269,721872.72,77692.61,,,0.409,0.114,,
5,6.918,18922.05,5818.6,,,0.115,0.043,,
6,7.141,35958.31,5325.77,,,0.218,0.158,,
7,7.707,16079.07,4873.9,,,0.102,0.192,,
8,7.98,1053996.54,377187.58,,,0.204,0.039,,
9,8.273,53344.42,9742.57,,,0.235,0.072,,
10,9.393,262321.61,67805.65,,,0.21,0.048,,
11,9.558,10751.88,4775.65,,,0.073,0.039,,
12,10.614,186070.72,63418.63,,,0.179,0.042,,
13,11.498,27215.33,9844.54,,,0.108,0.04,,
14,11.664,6200.72,3101.47,,,0.056,0.117,,
15,11.937,17916.76,6761.71,,,0.108,0.04,,
16,12.561,10231.16,3557.94,,,0.106,0.061,,
17,13.146,15244.07,5937.65,,,0.076,0.123,,
18,13.318,24450.81,3842.3,,,0.191,0.156,,
19,13.961,387940.47,130833.17,,,0.136,0.045,,
20,14.215,16025.8,3537.55,,,0.127,0.142,,
21,14.527,47088,16921.41,,,0.083,0.045,,
22,14.609,30706.21,10764.94,,,0.089,0.047,,
23,15.398,24924.35,8708.69,,,0.106,0.052,,
24,15.716,22090.19,8809.63,,,0.076,0.044,,
25,15.901,29032.65,7279.73,,,0.158,0.059,,
26,17.046,6380.62,2852.44,,,0.083,0.049,,
27,17.256,18850.73,7454.56,,,0.083,0.042,,
28,17.981,8697.49,3689.56,,,0.056,0.042,,
29,18.185,99587.2,37800.29,,,0.106,0.041,,
30,18.299,341494.74,121572.1,,,0.133,0.044,,
31,18.452,13349.68,3621.51,,,0.114,0.091,,
32,19.947,5196.51,2695.94,,,0.056,0.331,,
33,20.526,36592.22,11222.78,,,0.133,0.049,,
34,20.8,21769.67,7223.67,,,0.115,0.044,,
35,21.239,63077.73,15267.31,,,0.187,0.053,,
36,22.231,222755.07,80383.62,,,0.128,0.042,,
37,22.377,46921.5,18099,,,0.095,0.043,,
38,22.606,285070.52,95903.57,,,0.175,0.042,,
39,22.772,42451.75,17032.19,,,0.111,0.035,,
40,23.16,18434.69,7682.96,,,0.08,0.034,,
41,24.776,19702.71,6275.89,,,0.104,0.045,,
42,24.922,8007.53,3440.39,,,0.083,0.027,,
43,25.228,37771.08,11860.41,,,0.134,0.045,,
44,25.654,170350.82,52945.21,,,0.172,0.046,,
45,25.826,8599.31,3749.25,,,0.064,0.061,,
46,26.252,14121.28,5355.43,,,0.085,0.046,,
47,26.443,9944.72,3950.23,,,0.115,0.047,,
48,26.945,42557.29,15415.57,,,0.095,0.041,,
49,27.27,95860.46,28311.37,,,0.115,0.055,,
50,27.448,42489.89,8096.64,,,0.149,0.09,,
51,27.645,11850.63,3725.85,,,0.1,0.052,,
52,28.116,10868.16,4972.7,,,0.082,0.028,,
53,28.224,15124.26,4026.6,,,0.127,0.103,,
54,28.561,9065.44,4125.88,,,0.084,0.043,,
55,28.701,149895.97,35537.8,,,0.209,0.053,,
56,28.892,25394.83,9017.3,,,0.104,0.047,,
57,29.159,47562.59,16050.13,,,0.091,0.05,,
58,29.248,77200.13,26169.61,,,0.131,0.045,,
59,29.853,28045.02,9680.89,,,0.115,0.043,,
60,30.254,46339.72,16399.17,,,0.107,0.046,,
61,30.413,107599.76,18675.13,,,0.191,0.1,,
62,30.629,36047.68,10497.75,,,0.114,0.05,,
63,30.75,1703986.36,603172.96,,,0.223,0.043,,
64,31.119,5659.36,3366.86,,,0.058,0.045,,
65,31.214,9089.35,4077.69,,,0.07,0.041,,
66,31.507,82306.83,25902.77,,,0.155,0.048,,
67,31.831,16955.42,7327.83,,,0.083,0.034,,
68,31.946,47741.56,17345.72,,,0.098,0.043,,
69,32.048,78831.5,20716.67,,,0.14,0.055,,
70,32.162,9613.98,4609.77,,,0.056,0.06,,
71,32.41,11759.65,5785.72,,,0.069,0.033,,
72,32.525,747563.57,257831.3,,,0.223,0.044,,
73,32.926,84972.96,27571.36,,,0.15,0.043,,
74,33.358,11716.97,4677.71,,,0.083,0.04,,
