#Peaks: + TIC Scan - DR_PL_0070_1.D (DR_PL_0070_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.112,92689.66,14721.35,,,0.184,0.115,,
2,4.615,78595.45,13880.42,,,0.189,0.223,,
3,4.825,95879.38,12128.04,,,0.258,0.231,,
4,5.557,797265.84,141157.91,,,0.344,0.052,,
5,6.288,88827.04,21074.72,,,0.119,0.074,,
6,6.403,61219.4,12889.86,,,0.159,0.103,,
7,6.861,14752.43,7552.74,,,0.056,0.031,,
8,6.943,60565.11,14845.04,,,0.146,0.06,,
9,7.09,51317.81,12061.4,,,0.146,0.061,,
10,7.382,15255.49,4028.79,,,0.121,0.094,,
11,7.561,15770.45,6557.39,,,0.083,0.042,,
12,8.019,196346.44,57236.63,,,0.202,0.044,,
13,8.178,28495.49,9635.48,,,0.094,0.051,,
14,8.305,96400.89,23161.61,,,0.142,0.057,,
15,8.458,58361.92,16072.9,,,0.108,0.118,,
16,8.648,25354.97,4682.74,,,0.175,0.14,,
17,9.221,27629.46,6639.16,,,0.121,0.186,,
18,9.418,1154454.47,333627.15,,,0.235,0.044,,
19,10.309,10774.94,3471.67,,,0.093,0.08,,
20,10.538,28742.04,13560.51,,,0.078,0.035,,
21,10.64,64085.92,21191.38,,,0.154,0.045,,
22,11.219,13235.38,4164.15,,,0.127,0.257,,
23,11.969,40723.89,11481.05,,,0.115,0.066,,
24,12.281,24391.12,10123.55,,,0.087,0.039,,
25,12.44,9828.68,4923.67,,,0.076,0.027,,
26,12.663,29359.02,11698.7,,,0.087,0.041,,
27,12.962,13539.1,5689.99,,,0.095,0.088,,
28,13.038,14257.57,5071.57,,,0.101,0.054,,
29,13.165,58420.07,14650.55,,,0.138,0.091,,
30,13.337,17756.07,5154.63,,,0.113,0.069,,
31,13.865,50746.97,18325.05,,,0.102,0.043,,
32,13.99,3277313.23,1182405.25,,S,0.153,0.043,,
33,14.126,20599.39,5719.42,,,0.102,0.068,,
34,14.292,17887.74,5901.38,,,0.086,0.052,,
35,14.355,13267.05,5680.99,,,0.07,0.037,,
36,14.552,50257.46,18587.72,,,0.111,0.043,,
37,14.813,15405.61,5226.67,,,0.114,0.031,,
38,15.424,15225.99,8482.71,,,0.075,0.027,,
39,15.526,8005.58,4202.58,,,0.058,0.032,,
40,15.742,66944.34,28229.01,,,0.084,0.039,,
41,15.965,15814.38,4847.62,,,0.096,0.075,,
42,16.111,17790.77,5056.12,,,0.108,0.069,,
43,16.544,17876.46,5370.09,,,0.121,0.067,,
44,17.383,18485.43,7743.43,,,0.107,0.04,,
45,17.555,49602.28,14761.1,,,0.145,0.047,,
46,18.007,21028.11,8599.17,,,0.068,0.042,,
47,18.121,21400.76,7807.55,,,0.075,0.048,,
48,18.204,89324.19,35521.68,,,0.089,0.039,,
49,18.325,3716287.39,1369154.24,,,0.184,0.043,,
50,18.471,14381.74,4748.77,,,0.089,0.06,,
51,19.203,23570.83,9643.4,,,0.089,0.039,,
52,19.445,22508.43,6187.25,,,0.108,0.054,,
53,19.648,8912.35,3251.4,,,0.091,0.052,,
54,19.89,5586.44,2882.93,,,0.063,0.044,,
55,20.558,40932.91,14514.14,,,0.12,0.041,,
56,20.819,11180.18,4630.76,,,0.07,0.056,,
57,21.36,5343.86,3262.69,,,0.045,0.028,,
58,21.99,8356.65,4521.96,,,0.086,0.019,,
59,22.142,35719,13662,,,0.085,0.041,,
60,22.257,3355598.88,1158702.05,,,0.172,0.044,,
61,22.409,55205.46,19222.46,,,0.102,0.043,,
62,22.626,544354.19,202009.71,,,0.132,0.042,,
63,22.804,525938.26,197028.19,,,0.115,0.042,,
64,23.09,6753.29,4221.8,,,0.062,0.034,,
65,23.198,19969.29,7652.95,,,0.088,0.038,,
66,23.44,23064.95,4677.02,,,0.14,0.176,,
67,23.981,4698.49,3225.17,,,0.048,0.111,,
68,24.394,24882.18,7352.35,,,0.14,0.053,,
69,24.789,22215.06,6161.67,,,0.134,0.052,,
70,24.941,52672.38,18411.21,,,0.089,0.044,,
71,25.247,13330.98,6060.37,,,0.074,0.036,,
72,25.463,31273.86,11236.74,,,0.095,0.041,,
73,25.673,2362062.91,816185.76,,,0.153,0.045,,
74,26.004,28355.04,10834.05,,,0.081,0.044,,
75,26.271,79119.73,24176.66,,,0.143,0.045,,
76,26.456,1441719.23,485481.44,,,0.216,0.043,,
77,26.825,31503.62,12534.73,,,0.079,0.042,,
78,26.973,5008780.16,1801870.83,,S,0.183,0.043,,
79,27.289,71382.94,25725.21,,,0.116,0.044,,
80,27.524,30510.39,6207.92,,,0.134,0.097,,
81,28.129,73526.16,26700.62,,,0.1,0.043,,
82,28.294,17525.66,5326.23,,,0.134,0.045,,
83,28.396,35880.83,9965.41,,,0.114,0.054,,
84,28.727,1918414.07,577666.5,,,0.184,0.048,,
85,28.911,173737.45,66559.84,,,0.111,0.042,,
86,29.185,38842.37,14157.56,,,0.083,0.045,,
87,29.274,38363.26,14803.84,,,0.088,0.042,,
88,29.872,34095.7,8457.21,,,0.119,0.079,,
89,30.165,19588.78,8501.61,,,0.075,0.04,,
90,30.279,968161.36,333425.95,,,0.14,0.043,,
91,30.432,192397.98,33567.1,,,0.223,0.101,,
92,30.648,46472.62,16679.81,,,0.115,0.043,,
93,30.782,13877563.51,5024860.39,,,0.197,0.042,,
94,31.539,1565748.35,498807.83,,,0.191,0.048,,
95,31.851,20872.21,8094.66,,,0.078,0.044,,
96,31.959,1244202.77,440970.08,,,0.127,0.044,,
97,32.073,220976.9,61412.71,,,0.184,0.051,,
98,32.43,77346.55,26712.65,,,0.077,0.062,,
99,32.544,1216368.18,399235.22,,,0.17,0.045,,
100,32.697,14290.98,6249.39,,,0.082,0.042,,
101,32.945,36279.83,14602.7,,,0.082,0.044,,
102,33.39,42904.85,9850.87,,,0.14,0.065,,
