#Peaks: + TIC Scan - STDL2302_2.D (STDL2302_2.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.621,6171.26,2764.31,,,0.062,0.049,,
2,4.812,12873.34,4014.67,,,0.106,0.201,,
3,5.614,51736492.49,14507582.7,,,0.235,0.047,,
4,6.326,35703.07,7770.64,,,0.184,0.055,,
5,7.548,6972.39,3085.19,,,0.081,0.051,,
6,7.968,54001981.47,17647046.67,,,0.208,0.044,,
7,8.292,21499.83,6231.17,,,0.132,0.041,,
8,9.418,364392.79,100493.13,,,0.212,0.046,,
9,10.315,14200.1,3421.08,,,0.14,0.294,,
10,10.557,49895526.63,17429484.23,,,0.215,0.044,,
11,12.453,16437.08,5958.73,,,0.126,0.042,,
12,12.644,6977.57,2925.58,,,0.095,0.061,,
13,13.178,36049324.44,13303277.34,,,0.235,0.043,,
14,13.986,504460.03,183695.98,,,0.13,0.043,,
15,14.571,13070.94,3603.56,,,0.115,0.222,,
16,15.748,28482666.56,11337350.19,,,0.197,0.04,,
17,18.217,27443893.25,10606001.42,,,0.134,0.041,,
18,18.319,576546.95,200552.69,,,0.204,0.043,,
19,19.426,4076.2,2312.07,,,0.064,0.594,,
20,20.571,27381460.13,10268004.58,,,0.185,0.042,,
21,22.25,228265.06,79407.46,,,0.121,0.045,,
22,22.397,8412.02,2633.07,,,0.111,0.048,,
23,22.816,27515327.91,10147483.26,,,0.195,0.042,,
24,23.173,12650.59,3106.64,,,0.115,0.135,,
25,24.331,87313.94,32317.76,,,0.11,0.04,,
26,24.757,4818.8,2645.16,,,0.061,0.183,,
27,24.948,27209717.74,10240711.66,,,0.197,0.041,,
28,25.457,21007.37,9300.71,,,0.087,0.035,,
29,25.673,152099.13,53333.48,,,0.11,0.046,,
30,26.284,11986.66,3950.76,,,0.115,0.039,,
31,26.984,27021772.56,9576113.42,,,0.207,0.044,,
32,28.727,80926.1,30521.92,,,0.143,0.04,,
33,28.924,26242475.96,9385855.72,,,0.235,0.043,,
34,30.432,3091.34,2517.31,,,0.045,0.503,,
35,30.763,4710.91,3122.02,,,0.051,0.03,,
36,31.532,52330.72,17731.71,,,0.121,0.047,,
37,34.09,48639.05,16489.93,,,0.121,0.043,,
38,36.437,47383.35,16972,,,0.102,0.042,,
39,38.181,25705.97,6329.32,,,0.172,0.059,,
40,38.658,56865.98,19980.32,,,0.121,0.046,,
41,40.738,53511.4,18258.19,,,0.126,0.045,,
42,42.679,44759.82,13737.47,,,0.113,0.052,,
43,44.498,30862.27,10265.59,,,0.097,0.05,,
44,46.197,21450.43,7437,,,0.089,0.056,,
45,50.975,292191.07,10116.83,,,0.821,1.758,,

