No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,255,SL,Standard,6.25,,50000000,46450788,7.10%,15.03,5.47,"[12.12 , 17.94]",88914,"[81,032 , 97,563]"
2,255,SL,Standard,6.18,,50000000,48991572,2.00%,,,,,
3,255,SL,Standard,9.38,,5000000,5009268,0.20%,,,,,
4,255,SL,Standard,9.32,,5000000,5203724,4.10%,,,,,
7,255,SL,Standard,12.52,,500000,531419,6.30%,,,,,
8,255,SL,Standard,12.5,,500000,540058,8.00%,,,,,
9,255,SL,Standard,12.61,,500000,498278,0.30%,,,,,
10,255,SL,Standard,15.91,,50000,47535,4.90%,,,,,
11,255,SL,Standard,15.81,,50000,51099,2.20%,,,,,
12,255,SL,Standard,15.87,,50000,49013,2.00%,,,,,
13,255,SL,Standard,19.08,,5000,4946,1.10%,,,,,
14,255,SL,Standard,18.97,,5000,5348,7.00%,,,,,
15,255,SL,Standard,19.15,,5000,4710,5.80%,,,,,
16,255,SL,Standard,22.32,,500,493,1.40%,,,,,
17,255,SL,Standard,22.34,,500,486,2.90%,,,,,
18,255,SL,Standard,22.28,,500,507,1.30%,,,,,
19,0,ntc,NTC,,,,,,,,,,
20,0,ntc,NTC,,,,,,,,,,
21,0,ntc,NTC,,,,,,,,,,
