No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/ml),Calc Conc (copies/ml),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
25,65280,SL,Standard,6.97,,50000000,43267171,13.50%,15.2,5.93,"[12.25 , 18.15]",158114,"[131,231 , 190,504]"
26,65280,SL,Standard,6.79,,50000000,48804729,2.40%,,,,,
27,65280,SL,Standard,6.77,,50000000,49397556,1.20%,,,,,
28,65280,SL,Standard,10.06,,5000000,5241032,4.80%,,,,,
29,65280,SL,Standard,10.08,,5000000,5170784,3.40%,,,,,
30,65280,SL,Standard,10.01,,5000000,5443454,8.90%,,,,,
31,65280,SL,Standard,13.3,,500000,574652,14.90%,,,,,
32,65280,SL,Standard,13.4,,500000,538933,7.80%,,,,,
33,65280,SL,Standard,13.6,,500000,468733,6.30%,,,,,
34,65280,SL,Standard,16.86,,50000,50942,1.90%,,,,,
35,65280,SL,Standard,16.77,,50000,54178,8.40%,,,,,
36,65280,SL,Standard,17.02,,50000,45726,8.50%,,,,,
37,65280,SL,Standard,20.22,,5000,5128,2.60%,,,,,
38,65280,SL,Standard,20.31,,5000,4841,3.20%,,,,,
39,65280,SL,Standard,20.58,,5000,4018,19.60%,,,,,
40,65280,SL,Standard,23.58,,500,519,3.90%,,,,,
41,65280,SL,Standard,23.71,,500,474,5.10%,,,,,
42,65280,SL,Standard,23.5,,500,550,10.10%,,,,,
43,0,ntc,Unknown,28.73,,,16,,28.99,0.24,"[28.40 , 29.59]",13,"[7 , 25]"
44,0,ntc,Unknown,29.07,,,12,,,,,,
45,0,ntc,Unknown,29.19,,,11,,,,,,
