No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/ul),Calc Conc (copies/ul),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),23.63,,,242,,24.48,0.77,"[22.57 , 26.39]",135,
5,33023,Cal,Calibrator (RQ),24.68,,,117,,,,,,
6,33023,Cal,Calibrator (RQ),25.13,,,86,,,,,,
7,16744448,0012,Unknown,23.95,,,194,,23.98,0.19,"[23.52 , 24.45]",189,
8,16744448,0012,Unknown,24.19,,,165,,,,,,
9,16744448,0012,Unknown,23.82,,,212,,,,,,
10,16744448,0014,Unknown,24.17,,,167,,24.16,0.11,"[23.88 , 24.44]",168,
11,16744448,0014,Unknown,24.26,,,156,,,,,,
12,16744448,0014,Unknown,24.04,,,182,,,,,,
13,16744448,0016,Unknown,24.28,,,154,,24.2,0.4,"[23.21 , 25.20]",162,
14,16744448,0016,Unknown,24.56,,,127,,,,,,
15,16744448,0016,Unknown,23.77,,,219,,,,,,
16,16744448,0018,Unknown,24.07,,,179,,24.04,0.04,"[23.95 , 24.13]",182,
17,16744448,0018,Unknown,24,,,187,,,,,,
18,16744448,0018,Unknown,24.06,,,180,,,,,,
19,16744448,0020,Unknown,24.32,,,150,,24.05,0.24,"[23.44 , 24.65]",181,
20,16744448,0020,Unknown,23.94,,,195,,,,,,
21,16744448,0020,Unknown,23.87,,,204,,,,,,
22,8388863,0052,Unknown,23.87,,,204,,24.32,0.61,"[22.80 , 25.85]",150,
23,8388863,0052,Unknown,25.02,,,93,,,,,,
24,8388863,0052,Unknown,24.08,,,177,,,,,,
25,8388863,0054,Unknown,24.34,,,148,,24.18,0.19,"[23.70 , 24.66]",166,
26,8388863,0054,Unknown,24.22,,,160,,,,,,
27,8388863,0054,Unknown,23.97,,,192,,,,,,
28,8388863,0056,Unknown,24.11,,,173,,23.84,0.4,"[22.83 , 24.84]",209,
29,8388863,0056,Unknown,23.37,,,288,,,,,,
30,8388863,0056,Unknown,24.03,,,184,,,,,,
31,8388863,0058,Unknown,24.89,,,102,,25.07,0.19,"[24.60 , 25.54]",90,
32,8388863,0058,Unknown,25.26,,,79,,,,,,
33,8388863,0058,Unknown,25.06,,,90,,,,,,
34,8388863,0060,Unknown,25.6,,,62,,25.18,0.63,"[23.61 , 26.74]",83,
35,8388863,0060,Unknown,25.48,,,68,,,,,,
36,8388863,0060,Unknown,24.45,,,137,,,,,,
37,4210816,0062,Unknown,23.57,,,252,,23.88,0.27,"[23.20 , 24.56]",204,
38,4210816,0062,Unknown,24.09,,,176,,,,,,
39,4210816,0062,Unknown,23.98,,,190,,,,,,
40,4210816,0064,Unknown,23.2,,,323,,23.9,0.61,"[22.40 , 25.41]",200,
41,4210816,0064,Unknown,24.26,,,156,,,,,,
42,4210816,0064,Unknown,24.24,,,158,,,,,,
43,4210816,0066,Unknown,23.5,,,264,,23.86,0.33,"[23.05 , 24.67]",206,
44,4210816,0066,Unknown,23.96,,,193,,,,,,
45,4210816,0066,Unknown,24.13,,,171,,,,,,
46,4210816,0068,Unknown,24.37,,,145,,24.04,0.68,"[22.35 , 25.73]",182,
47,4210816,0068,Unknown,24.49,,,134,,,,,,
48,4210816,0068,Unknown,23.25,,,312,,,,,,
49,4210816,0070,Unknown,23.77,,,219,,23.93,0.21,"[23.40 , 24.45]",197,
50,4210816,0070,Unknown,24.17,,,167,,,,,,
51,4210816,0070,Unknown,23.84,,,209,,,,,,
52,65408,0093,Unknown,26.1,,,44,,25.99,0.19,"[25.51 , 26.46]",48,
53,65408,0093,Unknown,25.77,,,56,,,,,,
54,65408,0093,Unknown,26.09,,,44,,,,,,
55,65408,0095,Unknown,25.56,,,64,,25.28,0.63,"[23.71 , 26.85]",78,
56,65408,0095,Unknown,25.72,,,57,,,,,,
57,65408,0095,Unknown,24.56,,,127,,,,,,
58,65408,0097,Unknown,23.31,,,301,,23.77,0.4,"[22.77 , 24.78]",219,
59,65408,0097,Unknown,24.05,,,181,,,,,,
60,65408,0097,Unknown,23.96,,,192,,,,,,
61,65408,0099,Unknown,,,,,,,,,,
62,65408,0099,Unknown,,,,,,,,,,
63,65408,0099,Unknown,,,,,,,,,,
64,65408,0102,Unknown,25.69,,,59,,25.55,0.33,"[24.74 , 26.36]",64,
65,65408,0102,Unknown,25.78,,,55,,,,,,
66,65408,0102,Unknown,25.18,,,83,,,,,,
67,16777215,,Unknown,,,,,,,,,,
