No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,,,,,,,,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,,,,,,,,,,
4,33023,Cal,Calibrator (RQ),17.5,,,21607,,17.46,0.06,"[17.31 , 17.61]",22265,
5,33023,Cal,Calibrator (RQ),17.49,,,21855,,,,,,
6,33023,Cal,Calibrator (RQ),17.39,,,23373,,,,,,
7,16744448,0121,Unknown,20,,,3656,,20.02,0.06,"[19.87 , 20.17]",3602,
8,16744448,0121,Unknown,20.09,,,3431,,,,,,
9,16744448,0121,Unknown,19.97,,,3725,,,,,,
10,16744448,0123,Unknown,31.29,,,1,,31.82,0.61,"[30.29 , 33.34]",1,
11,16744448,0123,Unknown,32.49,,,,,,,,,
12,16744448,0123,Unknown,31.68,,,1,,,,,,
13,16744448,0125,Unknown,20.65,,,2298,,20.81,0.18,"[20.35 , 21.27]",2048,
14,16744448,0125,Unknown,21.01,,,1777,,,,,,
15,16744448,0125,Unknown,20.77,,,2105,,,,,,
16,16744448,0127,Unknown,,,,,,,,,,
17,16744448,0127,Unknown,36.73,,,,,,,,,
18,16744448,0127,Unknown,33.39,,,,,,,,,
19,16744448,0129,Unknown,23.04,,,417,,23.07,0.03,"[23.01 , 23.14]",408,
20,16744448,0129,Unknown,23.1,,,402,,,,,,
21,16744448,0129,Unknown,23.09,,,405,,,,,,
22,8388863,0131,Unknown,19.02,,,7325,,19.05,0.07,"[18.89 , 19.22]",7173,
23,8388863,0131,Unknown,19,,,7413,,,,,,
24,8388863,0131,Unknown,19.13,,,6797,,,,,,
25,8388863,0133,Unknown,18.47,,,10863,,18.42,0.05,"[18.30 , 18.55]",11218,
26,8388863,0133,Unknown,18.43,,,11152,,,,,,
27,8388863,0133,Unknown,18.37,,,11652,,,,,,
28,8388863,0135,Unknown,19.39,,,5646,,19.59,0.18,"[19.15 , 20.03]",4885,
29,8388863,0135,Unknown,19.67,,,4604,,,,,,
30,8388863,0135,Unknown,19.71,,,4484,,,,,,
31,8388863,0137,Unknown,18.65,,,9520,,18.91,0.25,"[18.30 , 19.52]",7956,
32,8388863,0137,Unknown,18.92,,,7884,,,,,,
33,8388863,0137,Unknown,19.14,,,6710,,,,,,
34,8388863,0139,Unknown,18.91,,,7960,,19.03,0.13,"[18.72 , 19.34]",7271,
35,8388863,0139,Unknown,19.03,,,7258,,,,,,
36,8388863,0139,Unknown,19.16,,,6653,,,,,,
37,12615680,0141,Unknown,17.99,,,15270,,18.29,0.53,"[16.97 , 19.62]",12314,
38,12615680,0141,Unknown,18.91,,,7940,,,,,,
39,12615680,0141,Unknown,17.98,,,15399,,,,,,
40,12615680,0143,Unknown,17.64,,,19658,,17.67,0.03,"[17.60 , 17.75]",19180,
41,12615680,0143,Unknown,17.68,,,19006,,,,,,
42,12615680,0143,Unknown,17.69,,,18885,,,,,,
43,12615680,0145,Unknown,18.97,,,7614,,19.02,0.06,"[18.86 , 19.17]",7343,
44,12615680,0145,Unknown,19.09,,,6984,,,,,,
45,12615680,0145,Unknown,19,,,7447,,,,,,
46,12615680,0147,Unknown,17.17,,,27433,,17.46,0.26,"[16.83 , 18.10]",22247,
47,12615680,0147,Unknown,17.64,,,19610,,,,,,
48,12615680,0147,Unknown,17.58,,,20469,,,,,,
49,12615680,0149,Unknown,17.26,,,25611,,17.28,0.03,"[17.22 , 17.35]",25299,
50,12615680,0149,Unknown,17.31,,,24762,,,,,,
51,12615680,0149,Unknown,17.27,,,25534,,,,,,
52,65408,0151,Unknown,17.26,,,25716,,17.35,0.08,"[17.15 , 17.56]",24045,
53,65408,0151,Unknown,17.4,,,23329,,,,,,
54,65408,0151,Unknown,17.41,,,23173,,,,,,
55,65408,0153,Unknown,18.3,,,12273,,18.32,0.07,"[18.15 , 18.49]",12075,
56,65408,0153,Unknown,18.26,,,12566,,,,,,
57,65408,0153,Unknown,18.4,,,11415,,,,,,
58,65408,0155,Unknown,16.61,,,40813,,16.55,0.08,"[16.34 , 16.75]",42699,
59,65408,0155,Unknown,16.58,,,41773,,,,,,
60,65408,0155,Unknown,16.45,,,45664,,,,,,
61,65408,0157,Unknown,16.69,,,38451,,16.8,0.1,"[16.55 , 17.06]",35535,
62,65408,0157,Unknown,16.9,,,33158,,,,,,
63,65408,0157,Unknown,16.82,,,35194,,,,,,
64,65408,0159,Unknown,19.78,,,4279,,19.74,0.05,"[19.63 , 19.86]",4379,
65,65408,0159,Unknown,19.69,,,4544,,,,,,
66,65408,0159,Unknown,19.76,,,4319,,,,,,
67,16777215,,Unknown,,,,,,,,,,
