No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/ul),Calc Conc (copies/ul),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,39.51,,,,,38.1,1.99,,,
2,0,ntc,NTC,,,,,,,,,,
3,0,ntc,NTC,36.69,,,,,,,,,
4,33023,Cal,Calibrator (RQ),18.11,,,28167,,18.01,0.1,"[17.77 , 18.24]",30202,
5,33023,Cal,Calibrator (RQ),17.92,,,32098,,,,,,
6,33023,Cal,Calibrator (RQ),17.99,,,30470,,,,,,
7,16744448,0122,Unknown,22.44,,,1451,,22.32,0.28,"[21.62 , 23.03]",1575,
8,16744448,0122,Unknown,22,,,1963,,,,,,
9,16744448,0122,Unknown,22.53,,,1370,,,,,,
10,16744448,0124,Unknown,24.6,,,331,,24.58,0.02,"[24.53 , 24.64]",336,
11,16744448,0124,Unknown,24.56,,,341,,,,,,
12,16744448,0124,Unknown,24.58,,,338,,,,,,
13,16744448,0126,Unknown,24.26,,,418,,24.37,0.13,"[24.06 , 24.68]",388,
14,16744448,0126,Unknown,24.34,,,396,,,,,,
15,16744448,0126,Unknown,24.51,,,353,,,,,,
16,16744448,0128,Unknown,21.93,,,2055,,22.03,0.09,"[21.79 , 22.26]",1927,
17,16744448,0128,Unknown,22.03,,,1929,,,,,,
18,16744448,0128,Unknown,22.12,,,1805,,,,,,
19,16744448,0130,Unknown,24.15,,,453,,24.28,0.11,"[24.00 , 24.55]",414,
20,16744448,0130,Unknown,24.34,,,398,,,,,,
21,16744448,0130,Unknown,24.35,,,395,,,,,,
22,8388863,0132,Unknown,25.44,,,187,,25.27,0.18,"[24.82 , 25.73]",209,
23,8388863,0132,Unknown,25.08,,,239,,,,,,
24,8388863,0132,Unknown,25.3,,,206,,,,,,
25,8388863,0134,Unknown,24.84,,,282,,24.91,0.07,"[24.74 , 25.08]",268,
26,8388863,0134,Unknown,24.97,,,258,,,,,,
27,8388863,0134,Unknown,24.93,,,264,,,,,,
28,8388863,0136,Unknown,23.35,,,782,,23.49,0.12,"[23.18 , 23.80]",709,
29,8388863,0136,Unknown,23.57,,,670,,,,,,
30,8388863,0136,Unknown,23.55,,,681,,,,,,
31,8388863,0138,Unknown,24.04,,,488,,24.09,0.08,"[23.88 , 24.29]",472,
32,8388863,0138,Unknown,24.04,,,487,,,,,,
33,8388863,0138,Unknown,24.18,,,442,,,,,,
34,8388863,0140,Unknown,22.57,,,1333,,22.52,0.05,"[22.40 , 22.63]",1378,
35,8388863,0140,Unknown,22.51,,,1383,,,,,,
36,8388863,0140,Unknown,22.48,,,1419,,,,,,
37,4210816,0142,Unknown,18.4,,,23047,,18.43,0.03,"[18.36 , 18.50]",22542,
38,4210816,0142,Unknown,18.45,,,22331,,,,,,
39,4210816,0142,Unknown,18.45,,,22256,,,,,,
40,4210816,0144,Unknown,18.74,,,18257,,18.82,0.08,"[18.63 , 19.02]",17247,
41,4210816,0144,Unknown,18.9,,,16367,,,,,,
42,4210816,0144,Unknown,18.83,,,17169,,,,,,
43,4210816,0146,Unknown,18.01,,,30133,,18.17,0.17,"[17.74 , 18.60]",26961,
44,4210816,0146,Unknown,18.15,,,27369,,,,,,
45,4210816,0146,Unknown,18.36,,,23763,,,,,,
46,4210816,0148,Unknown,18.77,,,17863,,18.77,0.01,"[18.76 , 18.78]",17879,
47,4210816,0148,Unknown,18.77,,,17947,,,,,,
48,4210816,0148,Unknown,18.78,,,17826,,,,,,
49,4210816,0150,Unknown,19.62,,,9975,,19.55,0.08,"[19.34 , 19.76]",10508,
50,4210816,0150,Unknown,19.46,,,11171,,,,,,
51,4210816,0150,Unknown,19.56,,,10414,,,,,,
52,65408,0152,Unknown,19.4,,,11631,,19.45,0.05,"[19.32 , 19.59]",11206,
53,65408,0152,Unknown,19.46,,,11183,,,,,,
54,65408,0152,Unknown,19.51,,,10819,,,,,,
55,65408,0154,Unknown,19.56,,,10435,,19.65,0.1,"[19.41 , 19.89]",9813,
56,65408,0154,Unknown,19.75,,,9153,,,,,,
57,65408,0154,Unknown,19.64,,,9894,,,,,,
58,65408,0156,Unknown,21.39,,,2984,,20.74,0.56,"[19.36 , 22.13]",4638,
59,65408,0156,Unknown,20.43,,,5733,,,,,,
60,65408,0156,Unknown,20.41,,,5830,,,,,,
61,65408,0158,Unknown,21.4,,,2953,,21.43,0.07,"[21.26 , 21.60]",2896,
62,65408,0158,Unknown,21.38,,,2996,,,,,,
63,65408,0158,Unknown,21.51,,,2745,,,,,,
64,65408,0160,Unknown,28.88,,,18,,29.55,0.59,"[28.10 , 31.01]",11,
65,65408,0160,Unknown,29.97,,,8,,,,,,
66,65408,0160,Unknown,29.81,,,9,,,,,,
67,16777215,,Unknown,,,,,,,,,,
