No.,Color,Name,Type,Ct,Ct Comment,Given Conc (%),Calc Conc (%),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
1,0,ntc,NTC,34.47,,,,,35.31,0.82,"[33.28 , 37.35]",,
2,0,ntc,NTC,35.37,,,,,,,,,
3,0,ntc,NTC,36.1,,,,,,,,,
4,33023,Cal,Calibrator (RQ),17.23,,,19635,,17.28,0.04,"[17.18 , 17.38]",19024,
5,33023,Cal,Calibrator (RQ),17.3,,,18747,,,,,,
6,33023,Cal,Calibrator (RQ),17.3,,,18703,,,,,,
7,16744448,0121,Unknown,19.38,,,4503,,19.44,0.13,"[19.11 , 19.78]",4297,
8,16744448,0121,Unknown,19.36,,,4555,,,,,,
9,16744448,0121,Unknown,19.6,,,3867,,,,,,
10,16744448,0123,Unknown,20.9,,,1586,,21,0.14,"[20.66 , 21.34]",1477,
11,16744448,0123,Unknown,21.16,,,1327,,,,,,
12,16744448,0123,Unknown,20.95,,,1532,,,,,,
13,16744448,0125,Unknown,19.91,,,3129,,19.75,0.19,"[19.27 , 20.24]",3474,
14,16744448,0125,Unknown,19.54,,,4035,,,,,,
15,16744448,0125,Unknown,19.82,,,3320,,,,,,
16,16744448,0127,Unknown,23.06,,,358,,23.2,0.14,"[22.85 , 23.55]",326,
17,16744448,0127,Unknown,23.19,,,328,,,,,,
18,16744448,0127,Unknown,23.34,,,295,,,,,,
19,16744448,0129,Unknown,19.11,,,5399,,19.37,0.23,"[18.79 , 19.95]",4524,
20,16744448,0129,Unknown,19.43,,,4332,,,,,,
21,16744448,0129,Unknown,19.56,,,3958,,,,,,
22,8388863,0131,Unknown,19.48,,,4182,,19.55,0.07,"[19.37 , 19.73]",4009,
23,8388863,0131,Unknown,19.53,,,4060,,,,,,
24,8388863,0131,Unknown,19.63,,,3795,,,,,,
25,8388863,0133,Unknown,19.5,,,4125,,19.55,0.04,"[19.45 , 19.65]",4000,
26,8388863,0133,Unknown,19.59,,,3897,,,,,,
27,8388863,0133,Unknown,19.56,,,3982,,,,,,
28,8388863,0135,Unknown,19.75,,,3487,,20.02,0.24,"[19.42 , 20.62]",2890,
29,8388863,0135,Unknown,20.11,,,2717,,,,,,
30,8388863,0135,Unknown,20.21,,,2546,,,,,,
31,8388863,0137,Unknown,18.94,,,6064,,18.94,0.06,"[18.80 , 19.09]",6063,
32,8388863,0137,Unknown,18.89,,,6308,,,,,,
33,8388863,0137,Unknown,19,,,5825,,,,,,
34,8388863,0139,Unknown,19.01,,,5774,,19.29,0.26,"[18.64 , 19.95]",4764,
35,8388863,0139,Unknown,19.33,,,4635,,,,,,
36,8388863,0139,Unknown,19.53,,,4041,,,,,,
37,4210816,0141,Unknown,17.14,,,20950,,17.35,0.18,"[16.89 , 17.80]",18143,
38,4210816,0141,Unknown,17.43,,,17189,,,,,,
39,4210816,0141,Unknown,17.48,,,16584,,,,,,
40,4210816,0143,Unknown,17.27,,,19107,,17.41,0.14,"[17.06 , 17.77]",17336,
41,4210816,0143,Unknown,17.56,,,15692,,,,,,
42,4210816,0143,Unknown,17.41,,,17377,,,,,,
43,4210816,0145,Unknown,17.98,,,11778,,18.02,0.1,"[17.77 , 18.26]",11470,
44,4210816,0145,Unknown,17.94,,,12058,,,,,,
45,4210816,0145,Unknown,18.13,,,10625,,,,,,
46,4210816,0147,Unknown,17.02,,,22683,,17.09,0.08,"[16.88 , 17.30]",21597,
47,4210816,0147,Unknown,17.19,,,20247,,,,,,
48,4210816,0147,Unknown,17.07,,,21933,,,,,,
49,4210816,0149,Unknown,17.35,,,18107,,17.48,0.12,"[17.19 , 17.76]",16590,
50,4210816,0149,Unknown,17.51,,,16260,,,,,,
51,4210816,0149,Unknown,17.58,,,15510,,,,,,
52,65408,0151,Unknown,17.49,,,16425,,17.64,0.14,"[17.30 , 17.98]",14806,
53,65408,0151,Unknown,17.68,,,14433,,,,,,
54,65408,0151,Unknown,17.76,,,13692,,,,,,
55,65408,0153,Unknown,17.4,,,17505,,17.5,0.14,"[17.15 , 17.84]",16392,
56,65408,0153,Unknown,17.43,,,17124,,,,,,
57,65408,0153,Unknown,17.65,,,14692,,,,,,
58,65408,0155,Unknown,17.16,,,20633,,17.23,0.07,"[17.05 , 17.42]",19611,
59,65408,0155,Unknown,17.23,,,19617,,,,,,
60,65408,0155,Unknown,17.31,,,18633,,,,,,
61,65408,0157,Unknown,17.34,,,18198,,17.42,0.08,"[17.22 , 17.61]",17281,
62,65408,0157,Unknown,17.5,,,16335,,,,,,
63,65408,0157,Unknown,17.41,,,17362,,,,,,
64,65408,0159,Unknown,18.1,,,10807,,18.42,0.28,"[17.73 , 19.10]",8711,
65,65408,0159,Unknown,18.52,,,8104,,,,,,
66,65408,0159,Unknown,18.62,,,7548,,,,,,
67,16777215,,Unknown,,,,,,,,,,
