"","mean_RT","0153","0154","0155","0156","0157","0158","0159","0160"
"P1",4.17316666666667,4.208,4.125,0,0,0,0,0,0
"P2",5.56091666666667,0,5.563,0,5.582,5.556,0,5.556,0
"P3",5.62391666666667,5.607,5.626,5.626,5.652,5.62,5.627,5.62,5.62
"P4",6.23666666666667,0,0,0,6.25,0,0,0,0
"P5",6.29366666666667,0,0,0,6.307,0,0,0,0
"P6",6.94766666666667,0,0,6.956,0,0,0,6.931,6.956
"P7",7.27366666666667,0,0,0,7.287,0,0,0,0
"P8",8.00991666666667,8,8.006,8.006,8.044,8.006,8.006,8.006,8.012
"P9",8.32116666666667,8.305,0,8.324,0,0,0,0,0
"P10",9.20766666666667,0,9.202,9.214,0,9.215,9.202,9.202,0
"P11",9.42291666666667,9.412,9.425,9.418,9.463,9.418,9.418,9.418,9.418
"P12",10.6389166666667,10.627,10.633,10.633,10.672,10.64,10.633,10.64,10.64
"P13",11.5056666666667,11.499,0,0,0,0,0,0,0
"P14",11.9756666666667,11.969,0,0,0,0,0,0,0
"P15",12.2856666666667,0,0,0,12.313,12.275,0,0,0
"P16",12.4586666666667,0,0,0,12.472,0,0,0,0
"P17",12.6526666666667,0,0,0,0,0,0,0,12.656
"P18",12.8416666666667,12.835,0,0,0,0,0,0,0
"P19",12.9736666666667,0,0,0,12.987,0,0,0,0
"P20",13.171,13.146,13.165,0,13.223,0,13.159,13.165,13.178
"P21",13.3275416666667,13.312,13.318,13.318,13.356,13.337,13.318,13.344,13.324
"P22",13.8586666666667,0,0,0,0,13.859,0,0,13.865
"P23",13.9930416666667,13.986,13.992,13.986,14.031,13.986,13.986,13.992,13.992
"P24",14.1576666666667,0,0,14.151,0,0,0,0,0
"P25",14.5426666666667,0,0,0,0,0,0,0,14.546
"P26",15.5346666666667,0,0,0,0,15.538,0,0,0
"P27",15.7321666666667,0,0,0,0,0,15.748,15.723,0
"P28",15.9237916666667,15.907,15.92,15.92,15.958,15.92,15.92,15.926,15.926
"P29",16.5626666666667,0,0,0,16.576,0,0,0,0
"P30",17.3856666666667,17.383,17.371,17.383,0,0,0,0,0
"P31",17.6246666666667,0,0,0,17.638,0,0,0,0
"P32",17.7936666666667,0,0,0,0,0,17.797,0,0
"P33",17.983,18.001,17.911,0,17.962,17.994,18.02,18.02,0
"P34",18.0446666666667,0,0,0,18.058,0,0,0,0
"P35",18.2101666666667,18.204,18.204,18.204,18.242,18.21,18.204,18.21,18.21
"P36",18.3242916666667,18.319,18.319,18.318,18.363,18.319,18.319,18.325,18.319
"P37",18.4362916666667,18.414,18.427,18.439,18.478,18.433,18.44,18.433,18.433
"P38",19.2216666666667,0,0,0,19.235,0,0,0,0
"P39",19.8396666666667,19.833,0,0,0,0,0,0,0
"P40",19.9566666666667,0,0,0,0,0,0,0,19.96
"P41",20.3896666666667,0,0,0,0,0,0,20.393,0
"P42",20.5638333333333,0,20.558,20.552,20.603,20.558,20.558,20.564,0
"P43",20.8130416666667,20.806,20.806,20.806,20.851,20.812,20.806,20.812,20.812
"P44",21.2256666666667,21.22,21.22,0,21.258,21.22,0,21.226,21.22
"P45",21.9950416666667,21.99,21.983,21.996,22.034,21.989,21.99,21.989,21.996
"P46",22.1312666666667,0,22.129,22.123,0,22.136,22.136,22.129,0
"P47",22.2532916666667,22.25,22.244,22.25,22.289,22.25,22.25,22.25,22.25
"P48",22.3949166666667,0,22.39,22.396,0,0,22.39,0,22.397
"P49",22.6338095238095,0,22.626,22.626,22.67,22.632,22.638,22.632,22.626
"P50",22.8061666666667,22.804,22.797,22.797,22.842,22.804,22.804,22.804,22.804
"P51",23.0166666666667,0,0,0,0,0,0,23.02,0
"P52",23.0901666666667,23.084,23.084,23.084,23.128,23.09,23.084,23.084,23.09
"P53",23.217380952381,23.186,23.217,23.224,0,23.243,23.217,23.217,23.211
"P54",23.3746666666667,0,0,23.376,0,0,23.37,0,0
"P55",24.4291666666667,0,24.439,24.426,0,0,24.413,24.432,0
"P56",24.6676666666667,0,0,0,0,0,0,24.668,24.674
"P57",24.7890952380952,24.795,24.789,24.776,24.814,24.789,24.782,24.782,0
"P58",24.9366666666667,24.935,24.929,24.935,24.973,24.929,24.935,24.935,24.929
"P59",25.2466666666667,25.24,25.24,25.24,25.279,25.247,25.247,25.24,25.247
"P60",25.4534166666667,25.438,25.45,25.45,25.482,25.457,25.45,25.45,25.457
"P61",25.6730416666667,25.66,25.667,25.667,25.711,25.667,25.673,25.673,25.673
"P62",25.8696666666667,0,0,0,25.883,0,0,0,0
"P63",26.3086666666667,0,26.309,26.309,26.303,26.316,26.316,26.309,0
"P64",26.4535238095238,0,26.449,26.449,26.487,26.449,26.449,26.449,26.456
"P65",26.8466666666667,26.831,26.856,26.824,26.876,26.856,26.837,26.85,0
"P66",26.9717916666667,26.971,26.965,26.964,27.003,26.971,26.965,26.971,26.971
"P67",27.3065416666667,27.302,27.302,27.308,27.334,27.295,27.308,27.308,27.302
"P68",27.4681666666667,0,0,0,27.499,0,0,27.454,0
"P69",27.8136666666667,0,0,0,0,0,27.817,0,0
"P70",28.1390952380952,28.135,28.135,28.141,28.161,0,28.135,28.135,28.135
"P71",28.2876666666667,0,0,28.281,0,0,0,0,0
"P72",28.4036666666667,0,0,0,28.434,0,28.39,0,0
"P73",28.5676666666667,0,0,0,28.581,0,0,0,0
"P74",28.7291666666667,28.72,28.727,28.72,28.759,28.733,28.727,28.727,28.727
"P75",28.9119166666667,28.905,28.911,28.905,28.937,28.911,28.911,28.911,28.911
"P76",29.2731666666667,29.268,29.268,29.267,29.299,29.268,29.274,29.274,29.274
"P77",29.3676666666667,0,29.369,29.363,29.401,29.363,29.357,29.363,0
"P78",30.0110416666667,30.012,29.999,30.005,30.031,30.012,30.012,30.012,30.012
"P79",30.1627916666667,30.158,30.158,30.158,30.196,30.158,30.165,30.158,30.158
"P80",30.2760416666667,30.273,30.273,30.266,30.311,30.273,30.273,30.273,30.273
"P81",30.3834166666667,30.381,30.375,30.381,30.413,30.381,30.381,30.381,30.381
"P82",30.6566666666667,30.655,30.654,30.648,30.686,30.654,30.655,30.654,30.654
"P83",30.7711666666667,30.767,30.763,30.762,30.814,30.763,30.769,30.769,30.769
