"","mean_RT","0061","0062","0063","0064","0065","0066","0067","0068","0069","0070"
"P1",4.1245,4.144,0,4.106,4.163,0,0,4.125,0,4.157,4.112
"P2",4.58986666666667,0,4.589,4.59,0,0,4.583,0,0,4.609,4.615
"P3",4.80466666666667,4.844,0,4.799,0,0,0,0,4.806,4.806,4.825
"P4",5.53856666666667,5.55,5.537,5.537,5.556,5.544,5.537,5.537,5.557,5.557,5.557
"P5",5.60291666666667,0,5.607,5.601,5.62,5.607,0,0,0,0,0
"P6",5.83566666666667,0,0,0,0,0,0,0,5.849,0,0
"P7",6.27411111111111,6.294,6.275,6.269,6.301,0,6.269,6.275,6.282,6.294,6.288
"P8",6.37466666666667,0,6.371,0,0,6.377,6.384,6.365,0,0,6.403
"P9",6.84766666666667,0,0,0,0,0,0,0,0,0,6.861
"P10",6.91856666666667,6.931,6.918,6.918,6.931,6.924,6.918,6.905,6.95,6.931,6.943
"P11",7.06438095238095,7.077,7.064,0,0,0,7.071,7.052,7.077,7.083,7.09
"P12",7.16183333333333,7.185,7.16,7.153,7.172,7.166,0,0,7.185,0,0
"P13",7.38016666666667,0,0,7.395,0,0,0,0,0,0,7.382
"P14",7.44566666666667,0,0,0,0,0,0,0,7.459,7.459,0
"P15",7.54716666666667,7.56,0,0,0,0,0,0,0,0,7.561
"P16",7.70616666666667,7.713,0,0,0,0,0,0,7.726,0,0
"P17",7.83333333333333,7.847,0,0,0,0,0,0,7.84,7.853,0
"P18",7.99826666666667,8.012,7.993,7.993,8.019,8,7.999,8,8.012,8.019,8.019
"P19",8.154,8.159,0,0,0,0,0,0,8.165,0,8.178
"P20",8.28446666666667,8.298,8.292,8.273,8.311,8.286,8.286,8.28,8.305,8.292,8.305
"P21",8.43966666666667,8.458,0,0,0,0,0,0,8.445,8.451,8.458
"P22",8.60616666666667,0,0,0,8.591,0,0,0,0,0,8.648
"P23",8.79466666666667,0,0,0,0,0,0,0,8.808,0,0
"P24",8.87066666666667,0,0,0,0,0,0,0,8.884,8.884,0
"P25",9.22033333333333,9.24,0,0,0,0,0,0,9.24,0,9.221
"P26",9.40016666666667,9.418,9.399,9.399,9.418,9.399,9.399,9.399,9.418,9.418,9.418
"P27",10.0606666666667,0,0,0,0,0,0,0,0,10.074,0
"P28",10.2878666666667,10.315,0,0,10.322,0,0,0,10.296,10.264,10.309
"P29",10.4196666666667,10.436,0,0,10.43,0,0,0,0,0,0
"P30",10.5253333333333,10.538,10.525,10.525,10.544,0,10.525,10.525,10.544,10.544,10.538
"P31",10.6282666666667,10.646,10.627,10.621,10.652,10.627,10.64,10.627,10.646,10.64,10.64
"P32",10.7856666666667,0,0,0,0,0,0,0,10.799,0,0
"P33",11.2056666666667,0,0,0,0,0,0,0,0,0,11.219
"P34",11.5656666666667,0,0,11.569,0,0,0,0,0,0,0
"P35",11.9456666666667,11.963,11.944,11.925,11.976,0,11.944,11.931,11.963,11.976,11.969
"P36",12.2666666666667,12.275,0,0,12.275,0,0,0,12.275,12.294,12.281
"P37",12.4034166666667,0,0,12.377,12.415,0,0,12.415,0,0,12.44
"P38",12.5641666666667,0,0,0,0,12.561,12.574,0,0,0,0
"P39",12.6374166666667,12.663,12.625,12.618,12.644,0,0,12.637,12.663,12.663,12.663
"P40",12.8786666666667,0,0,0,0,0,0,0,0,12.892,0
"P41",12.9364666666667,12.949,0,0,0,0,0,12.924,12.949,12.955,12.962
"P42",13.0231666666667,13.038,0,0,13.038,0,0,0,0,13.032,13.038
"P43",13.1505666666667,13.172,13.146,13.146,13.172,13.146,13.146,13.146,13.172,13.178,13.165
"P44",13.3415555555556,13.356,13.363,13.344,0,13.356,13.35,13.35,13.344,13.344,13.337
"P45",13.5526666666667,13.566,0,0,0,0,0,0,0,0,0
"P46",13.6926666666667,0,0,0,0,0,0,0,13.706,0,0
"P47",13.7696666666667,0,0,0,13.783,0,0,0,13.783,0,0
"P48",13.847380952381,13.865,0,0,13.865,0,13.84,13.84,13.865,13.865,13.865
"P49",13.9740666666667,13.992,13.973,13.973,13.992,13.973,13.973,13.973,13.993,13.992,13.99
"P50",14.0969166666667,14.101,0,0,0,0,0,0,14.101,14.113,14.126
"P51",14.2814166666667,14.291,0,0,0,0,0,0,14.298,14.298,14.292
"P52",14.3416666666667,0,0,0,0,0,0,0,14.355,14.355,14.355
"P53",14.5356666666667,14.559,14.533,14.527,14.559,14.533,14.533,14.533,14.552,14.559,14.552
"P54",14.7996666666667,14.813,0,0,0,0,0,0,0,0,14.813
"P55",14.9776666666667,14.991,0,0,0,0,0,0,0,0,0
"P56",15.4015666666667,15.418,15.398,15.392,15.43,15.399,15.398,15.411,15.411,15.418,15.424
"P57",15.5192666666667,15.551,0,0,0,0,0,15.519,15.519,15.538,15.526
"P58",15.5886666666667,0,0,0,15.602,0,0,0,0,0,0
"P59",15.7235666666667,15.742,15.723,15.717,15.742,15.723,15.729,15.717,15.742,15.742,15.742
"P60",15.9297916666667,15.933,15.914,15.933,15.939,0,0,15.927,15.939,15.965,15.965
"P61",16.0976666666667,16.117,0,0,0,0,0,0,16.105,16.111,16.111
"P62",16.5391666666667,0,0,0,0,16.556,0,0,16.55,16.55,16.544
"P63",16.9246666666667,0,0,0,0,0,0,0,0,16.938,0
"P64",17.1316666666667,0,0,17.135,0,0,0,0,0,0,0
"P65",17.3684166666667,17.39,0,0,0,0,0,0,17.383,17.371,17.383
"P66",17.5427777777778,17.549,17.542,17.53,17.549,17.555,0,17.574,17.562,17.549,17.555
"P67",17.7233333333333,17.74,0,17.714,0,0,0,0,17.746,0,0
"P68",17.9980666666667,18.02,17.988,17.994,18.02,18.013,17.988,17.994,18.02,18.02,18.007
"P69",18.1163333333333,0,0,0,0,0,0,0,18.128,18.14,18.121
"P70",18.1903666666667,18.21,18.185,18.185,18.21,18.191,18.191,18.191,18.21,18.21,18.204
"P71",18.3052666666667,18.325,18.306,18.3,18.325,18.3,18.299,18.306,18.325,18.325,18.325
"P72",18.4606666666667,18.484,18.439,0,18.484,0,0,0,18.478,18.478,18.471
"P73",18.7956666666667,0,0,0,0,0,0,0,18.809,0,0
"P74",18.9476666666667,0,0,0,0,0,0,0,18.961,0,0
