"","mean_RT","0151","0152"
"P1",4.21066666666667,0,4.214
"P2",5.55966666666667,0,5.563
"P3",5.62266666666667,5.626,0
"P4",6.29066666666667,6.294,0
"P5",7.20066666666667,7.204,0
"P6",8.01216666666667,8.012,8.019
"P7",8.29466666666667,8.298,0
"P8",8.65766666666667,8.661,0
"P9",9.19866666666667,0,9.202
"P10",9.42466666666667,9.431,9.425
"P11",10.6491666666667,10.652,10.653
"P12",11.9976666666667,12.001,0
"P13",12.4046666666667,12.408,0
"P14",13.3846666666667,13.388,0
"P15",13.9926666666667,13.999,13.993
"P16",14.5491666666667,14.559,14.546
"P17",14.6376666666667,14.641,0
"P18",15.4206666666667,15.424,0
"P19",18.2071666666667,18.21,18.211
"P20",18.3246666666667,18.331,18.325
"P21",18.4676666666667,18.471,0
"P22",20.5546666666667,20.564,20.552
"P23",20.8286666666667,20.832,0
"P24",21.2546666666667,21.258,0
"P25",22.1326666666667,22.136,0
"P26",22.2501666666667,22.25,22.257
"P27",22.4026666666667,22.409,22.403
"P28",22.6346666666667,22.638,0
"P29",22.8036666666667,22.804,22.81
"P30",23.1921666666667,23.205,23.186
"P31",24.7916666666667,24.795,0
"P32",24.9446666666667,24.954,24.942
"P33",25.2531666666667,25.247,25.266
"P34",25.6726666666667,25.679,25.673
"P35",26.3156666666667,26.316,26.322
"P36",26.4556666666667,26.462,26.456
"P37",26.8276666666667,26.831,0
"P38",26.9706666666667,26.977,26.971
"P39",27.3106666666667,27.314,0
"P40",27.5241666666667,27.537,27.518
"P41",28.1381666666667,28.129,28.154
"P42",28.2656666666667,28.269,0
"P43",28.7746666666667,28.778,0
"P44",28.9146666666667,28.918,28.918
"P45",29.1876666666667,29.191,29.191
"P46",29.2766666666667,29.28,0
"P47",29.8936666666667,29.897,0
"P48",29.9636666666667,29.967,0
"P49",30.1676666666667,30.177,30.165
"P50",30.2756666666667,30.279,30.279
"P51",30.3871666666667,30.394,30.387
"P52",30.4346666666667,30.438,0
"P53",30.6636666666667,30.667,0
"P54",30.7686666666667,30.775,30.769
"P55",31.9616666666667,31.965,0
"P56",32.0761666666667,32.086,32.073
"P57",32.1811666666667,32.188,32.181
"P58",32.5466666666667,32.55,32.55
"P59",32.9536666666667,32.957,0
"P60",33.3771666666667,33.377,33.384
"P61",33.5716666666667,33.575,0
"P62",33.7146666666667,33.715,33.721
"P63",33.8036666666667,33.81,33.804
"P64",33.9176666666667,33.924,33.918
"P65",34.1626666666667,34.166,0
"P66",34.2806666666667,34.3,34.268
"P67",34.6786666666667,34.682,0
"P68",34.8691666666667,34.872,34.873
"P69",35.1011666666667,35.114,35.095
"P70",35.3146666666667,35.318,0
"P71",35.4576666666667,35.464,35.458
"P72",35.5816666666667,35.585,0
"P73",35.8866666666667,35.89,35.89
"P74",36.0646666666667,36.068,0
"P75",36.3256666666667,36.329,0
"P76",36.6696666666667,36.654,36.692
"P77",36.9936666666667,36.997,0
"P78",37.0606666666667,37.067,37.061
"P79",37.1756666666667,37.182,37.176
"P80",37.4871666666667,37.5,37.481
"P81",37.9096666666667,37.913,0
"P82",37.9896666666667,37.99,37.996
"P83",38.5906666666667,38.594,38.594
"P84",38.7056666666667,38.709,0
"P85",38.9786666666667,38.982,38.982
"P86",39.1956666666667,39.199,0
"P87",39.4436666666667,39.447,0
"P88",39.6216666666667,39.625,0
"P89",39.7746666666667,0,39.778
"P90",40.0826666666667,40.083,40.089
"P91",40.1936666666667,40.197,0
"P92",40.4486666666667,40.446,40.458
"P93",40.9036666666667,40.904,40.91
"P94",41.5016666666667,41.508,41.502
"P95",41.5936666666667,41.597,41.597
"P96",41.8451666666667,41.852,41.845
"P97",42.2711666666667,42.271,42.278
"P98",42.4776666666667,42.481,0
"P99",42.6246666666667,0,42.628
"P100",42.9231666666667,42.901,42.952
"P101",43.2126666666667,43.213,43.219
"P102",43.6266666666667,43.633,43.627
"P103",44.2911666666667,44.32,44.269
"P104",44.5236666666667,44.53,44.524
"P105",45.0166666666667,45.02,0
"P106",45.2896666666667,45.293,45.293
"P107",45.5221666666667,45.541,45.51
"P108",45.5766666666667,0,45.58
"P109",45.7986666666667,45.802,45.802
"P110",46.1646666666667,46.171,46.165
"P111",46.7626666666667,46.769,46.763
"P112",47.7046666666667,47.711,47.705
"P113",47.9621666666667,47.972,47.959
"P114",48.2261666666667,48.233,48.226
"P115",48.4966666666667,48.5,0
"P116",49.0056666666667,49.009,0
"P117",49.5266666666667,49.53,0
"P118",50.0996666666667,0,50.103
"P119",50.3381666666667,50.345,50.338
"P120",50.5956666666667,50.599,0
"P121",51.9826666666667,51.986,0
"P122",56.0926666666667,56.096,0
"P123",56.8556666666667,56.859,0
"P124",57.7976666666667,57.801,0
